Service mode,Net sales,Total guests,Avg/Guest,Total payments,Avg/Payment,Total orders,Avg/Order,Turn time (minutes)
Quick Service,93460.59,6701,13.95,6643,15.32,6701,13.95,22.34
Total,93460.59,6701,13.95,6643,15.32,6701,13.95,22.34
