Discount,Count,Orders,Amount
Birthday Rewards,9,9,45.0
Open % Check,175,175,1495.71
Cash Reward,53,53,321.0
Manager Comp - Check,13,13,181.5
Employee Discount - Check,5,5,24.0
Total,255,255,2067.21
