Tax rate,Tax amount,Taxable amount
CA SPECIAL TAX,1391.11,92507.28
CA CITY TAX,917.9,92507.28
CA COUNTY TAX,246.68,92105.01
CA STATE TAX,5559.15,92509.59
Non Taxable,0.0,951.0
