Day of week,Net sales,Total orders,Total guests
Wed,8117.03,640,640
Tue,10660.18,839,839
Sun,14314.76,991,991
Thu,8251.02,678,678
Sat,14137.75,937,937
Fri,11874.80,893,893
Mon,10388.66,804,804
