Sales category,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Bottled Beer,136.0,724.61,8.15,0.0,732.76,63.24
Draft Beer,82.0,527.0,7.0,0.0,534.0,46.38
Food,1261.0,7852.8,151.45,0.0,8004.25,555.52
NA Beverage,6955.0,41569.79,1156.46,0.0,42726.25,3643.31
No Sales Category Assigned,2820.0,25051.6,701.65,0.0,25753.25,2199.69
Wavy Merchandise,85.0,1373.8,6.7,0.0,1380.5,120.17
Wine,34.0,644.6,9.4,0.0,654.0,56.38
Total,11373.0,77744.20,2040.81,0.0,79785.01,6684.69
