Dining option,Orders,Net sales,Discount amount,Gross sales,Tax amount
Dine In,2559,38790.27,952.23,39742.5,3343.44
Take Out,2968,35242.38,1008.38,36250.76,3015.31
Online Ordering - Takeout,254,3711.55,80.2,3791.75,325.94
E-Gift Cards,1,0.0,0.0,0.0,0.0
Total,5782,77744.20,2040.81,79785.01,6684.69
