yyyyMMdd,Net sales,Total orders,Total guests
20260601,2020.95,170,170
20260602,2392.05,164,164
20260603,2000.10,168,168
20260604,1913.05,175,175
20260605,3187.58,226,226
20260606,3411.24,231,231
20260607,3870.75,271,271
20260608,2381.28,165,165
20260609,2004.55,168,168
20260610,2317.59,167,167
20260611,2057.00,165,165
20260612,2697.68,223,223
20260613,4088.22,259,259
20260614,3922.89,269,269
20260615,2145.65,166,166
20260616,1799.20,143,143
20260617,2057.64,154,154
20260618,2244.37,178,178
20260619,3161.44,228,228
20260620,2975.76,208,208
20260621,3217.71,232,232
20260622,2052.66,151,151
20260623,2207.71,174,174
20260624,1741.70,151,151
20260625,2036.60,160,160
20260626,2828.10,216,216
20260627,3662.53,239,239
20260628,3303.41,219,219
20260629,1788.12,152,152
20260630,2256.67,190,190
