Revenue center,Items,Net sales,Discount amount,Refund amount,Gross sales,Tax amount
Online Ordering,525.0,3711.55,80.2,0.0,3791.75,325.94
Bar,10829.0,72527.65,1937.61,0.0,74465.26,6357.77
Dining Room,4.0,11.0,23.0,0.0,34.0,0.98
No Revenue Center,15.0,1494.0,0.0,0.0,1494.0,0.0
Total,11373.0,77744.20,2040.81,0.0,79785.01,6684.69
