Hour of day,Net sales,Total orders,Total guests
10,11602.08,813,813
11,10005.41,733,733
8,8227.34,571,571
9,11447.47,768,768
6,131.20,6,6
7,5338.27,409,409
15,4628.20,389,389
14,5150.78,431,431
13,7116.94,557,557
12,8836.12,676,676
16,3116.13,279,279
18,685.80,53,53
17,874.96,75,75
19,250.50,21,21
0,333.0,1,1
